"survey","item","variable","values"
"eb692","climate_chg_4","v711","c(4:1)"
"eb692","sup_govaction_3","v712","c(1:3)"
"eb692","sup_govaction_3","v713","c(1:3)"
"eb692","gen_clicon_3","v714","c(1:3)"
"eb692","gen_indchge_3","v715","c(1:3)"
"eb692","climate_chg_4","v720","c(1:4)"
"eb692","climate_chg_4","v721","c(1:4)"
"eb692","climate_chg_4","v722","c(1:4)"
"eb692","climate_chg_4","v723","c(4:1)"
"eb692","climate_chg_4","v724","c(4:1)"
"eb692","climate_indbeh_300","v756","c(1:300)"
"eb692","sup_govaction_3","v758","c(1:3)"
"eb692","sup_govaction_3","v759","c(1:3)"
"eb692","sup_govaction_3","v760","c(1:3)"
"eb711","gen_clicon_2","v230","c(0:1)"
"eb711","gen_clicon_2","v377","c(0:1)"
"eb711","gen_clicon_2","v469","c(0:1)"
"eb711","gen_clicon_2","v511","c(0:1)"
"eb711","gen_clicon_10","v522","c(1:10)"
"eb711","climate_chg_4","v523","c(4:1)"
"eb711","climate_chg_4","v524","c(4:1)"
"eb711","climate_chg_4","v525","c(4:1)"
"eb711","climate_chg_4","v526","c(4:1)"
"eb711","climate_chg_4","v527","c(1:4)"
"eb711","climate_chg_4","v528","c(1:4)"
"eb711","climate_chg_4","v529","c(4:1)"
"eb711","climate_chg_4","v530","c(4:1)"
"eb721","gen_clicon_10","v385","c(1:10)"
"eb721","sup_govaction_3","v387","c(1:3)"
"eb721","sup_govaction_3","v388","c(1:3)"
"eb721","sup_govaction_3","v389","c(1:3)"
"eb721","gen_clicon_3","v390","c(1:3)"
"eb721","gen_indchge_3","v391","c(1:3)"
"eb721","climate_chg_4","v392","c(1:4)"
"eb721","climate_chg_4","v393","c(1:4)"
"eb721","climate_chg_4","v394","c(4:1)"
"eb721","climate_chg_4","v395","c(4:1)"
"eb721","climate_chg_4","v396","c(4:1)"
"eb721","climate_chg_4","v397","c(4:1)"
"eb721","climate_chg_4","v398","c(4:1)"
"eb721","climate_indbeh_100","v415","c(1:100)"
"eb721","climate_indbeh_8","v416","c(1:8)"
"eb734","gen_clicon_2","v331","c(0:1)"
"eb742","gen_clicon_2","v170","c(0:1)"
"eb742","gen_clicon_2","v188","c(0:1)"
"eb742","gen_clicon_2","v276","c(0:1)"
"eb742","gen_clicon_2","v367","c(0:1)"
"eb742","gen_clicon_2","v447","c(0:1)"
"eb751","climate_chg_4","v368","c(4:1)"
"eb751","climate_chg_4","v369","c(4:1)"
"eb751","climate_chg_4","v370","c(4:1)"
"eb751","climate_chg_3","v393","c(3:1)"
"eb751","climate_chg_2","v394","c(1:0)"
"eb751","climate_chg_2","v395","c(1:0)"
"eb751","climate_chg_2","v396","c(0:1)"
"eb751","climate_chg_2","v397","c(1:0)"
"eb751","climate_chg_2","v399","c(0:1)"
"eb751","climate_chg_2","v398","c(1:0)"
"eb751","climate_chg_2","v402","c(1:0)"
"eb751","climate_chg_4","v408","c(4:1)"
"eb751","climate_chg_3","v413","c(3:1)"
"eb751","sup_govaction_4","v428","c(4:1)"
"eb751","sup_govaction_4","v429","c(4:1)"
"eb751","sup_govaction_4","v430","c(4:1)"
"eb751","sup_govaction_4","v431","c(4:1)"
"eb751","sup_govaction_4","v432","c(1:4)"
"eb751","sup_govaction_4","v433","c(1:4)"
"eb751","sup_govaction_4","v434","c(4:1)"
"eb751","sup_govaction_4","v435","c(4:1)"
"eb751","sup_govaction_2","v436","c(2:1)"
"eb751","sup_govaction_4","v484","c(1:4)"
"eb751","sup_govaction_2","v485","c(1:0)"
"eb753","gen_clicon_2","v190","c(0:1)"
"eb753","gen_clicon_2","v208","c(0:1)"
"eb753","gen_clicon_2","v294","c(0:1)"
"eb753","gen_clicon_2","v370","c(0:1)"
"eb753","gen_clicon_2","v399","c(0:1)"
"eb753","sup_govaction_2","v437","c(0:1)"
"eb753","sup_govaction_2","v573","c(0:1)"
"eb754","gen_clicon_2","v247","c(0:1)"
"eb754","gen_clicon_2","v263","c(0:1)"
"eb754","gen_clicon_2","v546","c(0:1)"
"eb754","gen_clicon_10","v557","c(1:10)"
"eb754","sup_govaction_2","v559","c(0:1)"
"eb754","sup_govaction_2","v560","c(0:1)"
"eb754","sup_govaction_2","v561","c(0:1)"
"eb754","gen_clicon_2","v562","c(0:1)"
"eb754","gen_indchge_2","v563","c(0:1)"
"eb754","gen_clicon_2","v564","c(0:1)"
"eb754","climate_chg_4","v568","c(4:1)"
"eb754","climate_tax_4","v569","c(4:1)"
"eb763","gen_clicon_2","qa6a2_15","c(0:1)"
"eb763","gen_clicon_2","qa7a2_15","c(0:1)"
"eb763","gen_clicon_2","qa8_13","c(0:1)"
"eb763","gen_clicon_2","qb3t_1","c(0:1)"
"eb773","gen_clicon_2","qa7a_13","c(0:1)"
"eb773","gen_clicon_2","qa8a_12","c(0:1)"
"eb773","sup_govaction_2","qd1_25","c(0:1)"
"eb773","sup_govaction_2","qd1_26","c(0:1)"
"eb773","gen_clicon_2","qa9_13","c(0:1)"
"eb773","gen_clicon_2","qa23_14","c(0:1)"
"eb781","gen_clicon_2","qa5a_13","c(0:1)"
"eb781","gen_clicon_2","qa6a_12","c(0:1)"
"eb781","sup_govaction_2","qd1_25","c(0:1)"
"eb781","sup_govaction_2","qd1_26","c(0:1)"
"eb781","gen_clicon_2","qa7_13","c(0:1)"
"eb793","gen_clicon_2","qa7a_12","c(0:1)"
"eb793","gen_clicon_2","qa8_11","c(0:1)"
"eb793","sup_govaction_2","qd1_25","c(0:1)"
"eb801","gen_clicon_2","qa4a_13","c(0:1)"
"eb801","gen_clicon_2","qa5a_12","c(0:1)"
"eb801","sup_govaction_2","qd1_25","c(0:1)"
"eb801","sup_govaction_2","qd1_26","c(0:1)"
"eb801","gen_clicon_2","qa6_13","c(0:1)"
"eb802_c","climate_chg_4","qa4_1","c(4:1)"
"eb802_c","gen_clicon_2","qa1t_1","c(0:1)"
"eb802_c","gen_clicon_2","qa3_1","c(0:1)"
"eb814","gen_clicon_2","qa4a_13","c(0:1)"
"eb814","gen_clicon_2","qa5a_12","c(0:1)"
"eb814","gen_clicon_2","qa6_13","c(0:1)"
"eb823","gen_clicon_2","qa3a_13","c(0:1)"
"eb823","gen_clicon_2","qa4a_12","c(0:1)"
"eb823","gen_clicon_2","qa5_13","c(0:1)"
"eb832","gen_clicon_4","qa6_4","c(4:1)"
"eb833","sup_govaction_2","qe3t_6","c(0:1)"
"eb833","gen_clicon_2","qa4a_12","c(0:1)"
"eb833","gen_clicon_2","qa5_13","c(0:1)"
"eb833","gen_clicon_2","qa3a_13","c(0:1)"
"eb834","gen_clicon_10","qa2","c(1:10)"
"eb834","sup_govaction_2","qa3_1","c(0:1)"
"eb834","sup_govaction_2","qa3_2","c(0:1)"
"eb834","sup_govaction_2","qa3_3","c(0:1)"
"eb834","gen_clicon_2","qa3_4","c(0:1)"
"eb834","gen_indchge_2","qa3_5","c(0:1)"
"eb834","gen_clicon_2","qa3_6","c(0:1)"
"eb834","gen_clicon_2","qa3_7","c(0:1)"
"eb834","gen_clicon_2","qa3_8","c(0:1)"
"eb834","climate_chg_4","qa4_1","c(4:1)"
"eb834","intcomm_coop_4","qa4_2","c(4:1)"
"eb843","gen_clicon_2","qa3a_13","c(0:1)"
"eb843","gen_clicon_2","qa4a_12","c(0:1)"
"eb843","gen_clicon_2","qa5_13","c(0:1)"
"eb852","gen_clicon_2","qa3a_13","c(0:1)"
"eb852","gen_clicon_2","qa4a_12","c(0:1)"
"eb852","gen_clicon_2","qa5_13","c(0:1)"
"eb862","gen_clicon_2","qa3a_13","c(0:1)"
"eb862","gen_clicon_2","qa4a_12","c(0:1)"
"eb862","gen_clicon_2","qa5_13","c(0:1)"
"eb802_c","sup_govaction_2","qa3_2","c(0:1)"
"eb802_c","sup_govaction_2","qa3_3","c(0:1)"
"eb802_c","gen_clicon_2","qa3_4","c(0:1)"
"eb802_c","gen_indchge_2","qa3_5","c(0:1)"
"eb802_c","gen_clicon_2","qa3_6","c(0:1)"
"eb802_c","gen_clicon_2","qa3_7","c(0:1)"
"eb802_c","gen_clicon_2","qa3_8","c(0:1)"
"eb871","gen_clicon_2","qc1t_1","c(0:1)"
"eb871","gen_clicon_10","qc2","c(1:10)"
"eb871","sup_govaction_2","qc3_1","c(0:1)"
"eb871","sup_govaction_2","qc3_2","c(0:1)"
"eb871","sup_govaction_2","qc3_3","c(0:1)"
"eb871","gen_clicon_2","qc3_4","c(0:1)"
"eb871","gen_indchge_2","qc3_5","c(0:1)"
"eb871","gen_clicon_2","qc3_6","c(0:1)"
"eb871","gen_clicon_2","qc3_7","c(0:1)"
"eb871","gen_clicon_2","qc3_8","c(0:1)"
"eb871","climate_chg_4","qc4_1","c(4:1)"
"eb871","sup_govaction_4","qc4_5","c(4:1)"
"eb871","sup_govaction_4","qc7","c(4:1)"
"eb871","sup_govaction_4","qc8","c(4:1)"
"nsee_combo","air_health_4","gwimpacts_disease","c(4:1)"
"nsee_combo","sup_govaction_4","intl_economicimpact","c(1:4)"
"nsee_combo","sup_govaction_4","intl_support_v1","c(4:1)"
"nsee_combo","sup_govaction_5","intl_support_v2","c(5:1)"
"nsee_combo","climate_chg_2","science_co2vsmethane","c(1:2)"
"nsee_combo","climate_chg_2","science_flooding","c(2:1)"
"nsee_combo","climate_chg_2","science_ozonehole","c(1:2)"
"eb883","gen_clicon_2","qa3a_13","c(0:1)"
"eb883","gen_clicon_2","qa4b_13","c(0:1)"
"eb883","gen_clicon_2","qa5_13","c(0:1)"
"eb902","climate_chg_4","qb1","c(4:1)"
"eb902","sup_govaction_4","qb5_5","c(4:1)"
"eb913_c","gen_clicon_2","qb1_c","c(0:1)"
"eb913_c","sup_govaction_4","qb4_4","c(4:1)"
"eb913_c","gen_indchge_2","qb5","c(2:1)"
"eb913_c","sup_govaction_4","qb7","c(4:1)"
"eb913_c","sup_govaction_4","qb8","c(4:1)"
"eb913_c","sup_govaction_4","qb9","c(4:1)"
"eb914","sup_govaction_2","qb9","c(0:1)"
"eb914","sup_govaction_4","qb2_2","c(4:1)"
"eb924","gen_clicon_10","qa2_1","c(1:10)"
"eb924","gen_clicon_10","qa2_2","c(1:10)"
"eb924","gen_clicon_2","qa3_8","c(0:1)"
"eb511_c","gen_clicon_4","v47","c(4:1)"
"eb511_c","gen_clicon_4","v48","c(4:1)"
"eb511_c","gen_clicon_4","v49","c(4:1)"
"eb511_c","gen_clicon_3","v56","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v58","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v93","c(1:3)"
"eb802_c","gen_clicon_2","qa1_c","c(0:1)"
"eb802_c","gen_clicon_11","qa2","c(0:10)"
"eb802_c","sup_govaction_4","qa7","c(4:1)"
"eb802_c","sup_govaction_4","qa8","c(4:1)"
"eb834","gen_clicon_2","qa1t_1","c(0:1)"
"eb852_c","gen_clicon_2","qa5_13","c(0:1)"
"eb852_c","climate_pri_2","qb3_6","c(0:1)"
"eb682_c","gen_clicon_2","qa5_13","c(0:1)"
"eb682_c","climate_pri_2","qb3_6","c(0:1)"
"eb621","gen_clicon_2","v271","c(0:1)"
"eb570","climate_chg_2","v104","c(2:1)"
"eb570","climate_chg_2","v105","c(2:1)"
"eb431","gen_clicon_4","v138","c(4:1)"
"lb2017","climate_chg_4","p53n_i","c(4:1)"
