survey,item,variable,values,question_text, response_categories,untranslated_question_text
de_ecg2020,harm_de4,f512_a,c(4:1),Climate change also threatens the livelihoods here in Germany,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,harm_dev4a,f512_b,c(4:1),Our way of life means we are partly responsible for the consequences of climate change in poorer countries.,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,denial4,f512_c,c(1:4),"When it comes to the consequences of climate change, many things are greatly exaggerated",1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,concern4a,f512_d,c(4:1),I am afraid of the consequences of climate change.,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,concern4c,f512_e,c(1:4),I cannot also worry about climate protection,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,helpless4,f512_f,c(1:4),"Personally, I often lack the opportunities to do something for climate protection",1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,anger4,f512_g,c(4:1),It makes me angry when I see that Germany is missing its climate protection goals,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,urgent4,f512_h,c(4:1),"Climate change is already happening, so we should urgently take measures to adapt to its consequences.",1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,duty4,f513_a,c(4:1),Industrialized countries like Germany have an international obligation to take the lead in climate protection.,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,more4,f513_b,c(4:1),Germany's climate protection goals should be more ambitious because we are currently doing too little to meet the Paris Agreement (limiting global warming to 1.5 degrees if possible).,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,benefit4a,f513_c,c(4:1),"It is in Germany's own interest to take the lead in climate protection, which creates jobs and strengthens international competitiveness.",1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,less4,f513_d,c(1:4),Germany has more pressing problems and should not take the lead in climate protection.,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,support4,f513_e,c(4:1),Germany should support other countries more in climate protection and in dealing with the consequences of climate change.,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,
de_ecg2020,agriculture4,f514_i,c(1:4),"Firstly, it is about food supply and production. Do you think that enough or not enough is currently being done in this area with regard to the following goals? reduce greenhouse gas emissions from agriculture",1 enough / 2 rather enough / 3 rather not enough / 4 not enough,
de_ecg2020,car_carbon4,f516_a,c(1:4),Next we will look at mobility. Do you think that enough or not enough is currently being done here with regard to the following goals? reduce greenhouse gas emissions from traffic,1 enough / 2 rather enough / 3 rather not enough / 4 not enough,
eb511,concern4,v47,c(4:1),"At present, are you very worried, somewhat worried, not very worried or not at all worried about the following? Global warming (greenhouse effect)",1 very worried / 2 fairly worried / 3 not very worried / 4 not at all worried,
eb511,concern_trend3,v56,"c(2,3,1)","And, for each of these, would you say that you are more worried or less worried than 5 years ago? Global warming (greenhouse effect)",1 more worried / 2 less worried / 3 neither more nor less worried,
eb511,harm_health3,v93,c(1:3),To what extent do you believe that the following could affect your health in the future? Climate change,1 not at all / 2 a little / 3 a lot,
eb57,concern_urgent2,v100,c(2:1),Global warming and climate change are serious issues which need immediate action,"1 yes, it is the case / 2 no, it is not the case",
eb57,cause_oil2,v101,c(2:1),"The use of fossil fuels (coal, oil, gas, etc.) contributes significantly to global warming and climate change","1 yes, it is the case / 2 no, it is not the case",
eb57,cause_nuclear2,v102,c(1:2),Nuclear power contributes significantly to global warming and climate change,"1 yes, it is the case / 2 no, it is not the case",
eb57,cause_transport2,v103,c(2:1),Transport is largely responsible for global warming and climate change,"1 yes, it is the case / 2 no, it is not the case",
eb57,cause_methane2,v105,c(2:1),"The use of natural gas contributes to environmental problems, but less than oil","1 yes, it is the case / 2 no, it is not the case",
eb621,env_definition2,as.numeric(v270 == 5),c(0:1),"When people talk about ""the environment"", which of the following do you think of first? Climate change",0 not mentioned / 1 mentioned,
eb621,env_priority2,v271,c(0:1),"From the following list, please list the five main environmental issues that you are worried about? Climate change",0 not mentioned / 1 mentioned,
eb672,concern_urgent4,v311,c(4:1),"Overall, thinking about global warming, do you think that it is a matter that should be dealt with by the European Union urgently or not? It should be dealt with by the European Union...",1 very urgently / 2 fairly urgently / 3 not really urgently / 4 not at all urgently,
eb672,policy_carbon4a,v312,c(4:1),"More precisely, please tell me to what extent do you agree or disagree with the following statement about climate change: The European Union should urgently put new policies in place to reduce greenhouse gas emission by at least 20% by 2020",1 totally agree / 2 tend to agree / 3 tend to disagree / 4 totally disagree,
eb681,policy_priority2,v271,c(0:1),"The European Parliament defends the development of certain policies at European Union level. In your opinion, which of the following policies should be given priority? Combating effectively climate change",0 not mentioned / 1 mentioned,
eb682,env_definition2,as.numeric(v475 == 5),c(0:1),"When people talk about ""the environment"", which of the following do you think of first? Climate change",0 not mentioned / 1 mentioned,
eb682,env_priority2,v477,c(0:1),"From the following list, please list the five main environmental issues that you are worried about? Climate change",0 not mentioned / 1 mentioned,
eb692,election_priority2,v525,c(0:1),"For you, among the following themes, which are the ones that the electoral campaign for the next European elections should concentrate on firstly? The fight against climate change",0 not mentioned / 1 mentioned,
eb692,election_priority2a,v542,c(0:1),"For you, among the following themes, which are the ones that the electoral campaign for the next European elections should concentrate on? The fight against climate change",0 not mentioned / 1 mentioned,
eb692,problem_priority2,v695,c(0:1),"In your opinion, which of the following do you consider to be the most serious problem currently facing the world as a whole? Firstly? Climate change",0 not mentioned / 1 mentioned,
eb692,concern10,v707,c(1:10),And how serious a problem do you think climate change is at this moment?,1 not a serious problem at all / 23456789 / 10 an extremely serious problem,
eb692,effort_gov3,v712,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? The [nationality] government",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,effort_eu3,v713,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? The European Union",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,effort_industry3,v714,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? Industry",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,effort_public3,v715,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? Citizens themselves",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,effort_gov3,v716,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? The [nationality] government",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,effort_eu3,v717,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? The European Union",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,effort_industry3,v718,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? Corporations and industry",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,effort_public3,v719,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? Citizens themselves",1 doing too much / 2 doing about the right amount / 3 not doing enough,
eb692,helpless4a,v720,c(1:4),"Climate change is an unstoppable process, we cannot do anything about it",1 totally agree / 2 tend to agree / 3 tend to disagree / 4 totally disagree,
eb692,denial4,v721,c(1:4),The seriousness of climate change has been exaggerated,1 totally agree / 2 tend to agree / 3 tend to disagree / 4 totally disagree,
eb692,denial_carbon4,v722,c(1:4),Emission of CO2 (Carbon dioxide) has only a marginal impact on climate change,1 totally agree / 2 tend to agree / 3 tend to disagree / 4 totally disagree,
eb692,benefit4,v723,c(4:1),Fighting climate change can have a positive impact on the European economy,1 totally agree / 2 tend to agree / 3 tend to disagree / 4 totally disagree,
eb692,biofuel4,v724,c(4:1),"Alternative fuels, such as ""bio fuels"", should be used to reduce greenhouse gas emissions",1 totally agree / 2 tend to agree / 3 tend to disagree / 4 totally disagree,
eb692,cost8,v757,"c(8,1:7)","Personally, how much would you be prepared to pay more for energy produced from sources that emit less greenhouse gases in order to fight the climate change? In average, how much, in percent, would you be ready to pay more?",1 1-5% / 2 6-10% / 3 11-20% / 4 21-30% / 5 31-40% /  6 41-50% / 7 More than 50% / 8 No,
eb692,policy_emissions3,v758,c(1:3),"The European Union has the objective of reducing its greenhouse gas emissions by at least 20% by 2020 compared to 1990. Thinking about this objective, would you say that it is too ambitious, about right or too modest?",1 too ambitious / 2 about right / 3 too modest,
eb692,policy_emissions3a,v759,c(1:3),"In order to limit the impact of climate change, the EU is also proposing an international agreement which would commit the major world economies to a target of 30% reduction of greenhouse gas emissions by 2020 compared to 1990. Thinking about this objective, would you say that it is too ambitious, about right or too modest?",1 too ambitious / 2 about right / 3 too modest,
eb692,policy_mandate3,v760,c(1:3),"The European Union has the objective of increasing the share of renewable energy to 20% by 2020. Thinking about this objective, would you say that it is too ambitious, about right or too modest?",1 too ambitious / 2 about right / 3 too modest,
wvs_combo,concern_global4,b021,c(4:1),"Now let’s consider environmental problems in the world as a whole. Please, tell me how serious you consider each of the following to be for the world as a whole. Is it very serious, somewhat serious, not very serious or not serious at all? Global warming or the greenhouse effect",1 very serious / 2 somewhat serious / 3 not very serious / 4 not serious at all,
wrp19_21,threat3,wp20719,c(3:1),Will climate change be a threat to people in country in next 20 years?,1 very serious threat / 2 somewhat serious threat / 3 not a threat at all,
