survey,item,variable,values,question_text,response_categories,agreed,categories,notes
issp1993,ghtem_serious_4,v72,c(4:1),"within the next 20 years or so, a rise in the world's tempature caused by the gh wil be one of the most serious problesm",definitely true 1   Probably true    Prob not true Definit not true 4,NA,NA,NA
issp1993,envact_buy_5,v24,c(5:1),how willing would you be to pay much higher prices in order to protect the env,Very willing1   Fairly willing      Neither nor Fairly unwilling   Very unwilling 5,NA,NA,NA
issp1993,envact_taxex_5,v25,c(5:1),how willing would you be to pay much higher taxes in order to protect the vin,Very willing1   Fairly willing      Neither nor Fairly unwilling   Very unwilling 5,NA,NA,NA
nsee_combo,gen_clicon_4,gw_scioverstate,c(4:1),Scientists overstating evidence about global warming for their own interests,Strongly agree  1  Somewhat agree Somewhat disagree Strongly disagree  4,NA,NA,NA
nsee_combo,gen_clicon_5,gw_threat,c(1:5),"""How much of a threat do you believe climate change to be""",Not at all a threat   1   A small threat   A moderate threat    A serious threat   An extreme threat    5,NA,NA,NA
nsee_combo,gen_clicon_4,ccvsgw_concern,c(4:1),How concerned are you about the issue of climate change,Very concerned    1   Somewhat concerned        Not too concerned     Not concerned at all 4,NA,NA,NA
nsee_combo,climate_chg_2,cdr_knowledge,c(2:1),Have you ever heard about carbon dioxide removal,Yes          1             No 2,NA,NA,NA
eb431,gen_clicon_4,v139,c(4:1),the destruction of the ozone layer,1Very worried   Somewhat worried   Not very worried Not at all worried 4,NA,NA,NA
eb431,gen_evncon_3,v134,c(3:1),Many people are concerned about protecting the environment and fighting pollution. Which do you agree with?,"#1 An immediate and urgent problem   More a problem for the future Not really a problem  3
",NA,NA,NA
eb431,gh_env_2,v164,c(0:1),"If I mention serious damage to the environment, what do you think of ? Please choose the first four things that come to mind from this list.Air pollution from cars",0 Not mentioned     1 Mentioned,NA,NA,NA
eb431,gh_env_2,v170,c(0:1),Acid rain,0 Not mentioned     1 Mentioned,NA,NA,NA
eb431,gh_env_2,v171,c(0:1),"Global pollution such as the progressive disappearance of tropical forests, the destruction of the ozone layer, the greenhouse effec",0 Not mentioned     1 Mentioned,NA,NA,NA
eb431,envimp_eco_3,v182,c(1:3),I am going to read you three opinions which you sometimes hear about environmental problems. Which one comes closest toyour own ?,Economic development should get higher priority 1 #2 Economic development must be ensured but the environment protected at the same time 3 Concerns about the environment should get higher priority than economic development,NA,NA,NA
eb431,envact_govspend_2,v236,c(2:1),"Here are some ways in which governments can deal with environmental matters. Would you support the following proposals, or not ? Spending more money on educating the public about important environmental",#Yes1  No2,NA,NA,NA
eb431,envact_strpolicy_2,v237,c(2:1),Implementing tougher legislation to control companies which pollute the environment,#Yes1  No2,NA,NA,NA
eb431,envact_strpolicy_2,v238,c(2:1),Allocating greater resources to the enforcement of existing legislation,#Yes1  No2,NA,NA,NA
eb431,envact_taxex_2,v241,c(2:1),Applying special taxes on goods and processes which harm the environment,#Yes1  No2,NA,NA,NA
eb431,envact_taxex_4,v253,c(4:1),"A possible means of slowing down the damaging effects of human lifestyle on the environment would be to introduce environmental taxes, ""eco-taxes"". These taxes would, for example, make environmentally-friendly goods less expensive,and environmentally-harmful goods more expensive. Please tell me whether you agree strongly, agree somewhat, disagree  somewhat or disagree strongly with this idea ?",#1 Agree strongly    Agree somewhat Disagree somewhat 4 Disagree strongly,NA,NA,NA
eb431,envact_taxex_4,v256,c(4:1),"It has been proposed to increase taxes on product packaging that pollutes the environment, and decrease taxes on environmentally-friendly packs. Please tell me whether you agree strongly, agree somewhat, disagree somewhat or disagree strongly with this idea ?",#1 Agree strongly    Agree somewhat Disagree somewhat 4 Disagree strongly,NA,NA,NA
eb431,envact_taxex_4,v257,c(4:1),"Imagine that in (OUR COUNTRY) it was proposed to cut income taxes or social security contributions. But an equivalent amount of taxes would be put on goods and processes which damage the environment such as ozone-destroying chemicals, wastes, transport, carbon dioxide (CO2), energy and pesticides. Please tell me whether you agree strongly, agree  somewhat, disagree somewhat or disagree strongly with this idea ?",#1 Agree strongly    Agree somewhat Disagree somewhat 4 Disagree strongly,NA,NA,NA
eb391,gh_env_3_3,v44,c(3:1),"Can you tell me if it is a very serious problem, quite serious or not very serious ?THE  GREENHOUSE (GLOBAL WARMING)",1 VERY SERIOUS        QUITE SERIOUS     NOT VERY SERIOUS 3,NA,NA,NA
eb391,gen_evncon_3,v45,c(3:1),ACID RAIN,1 VERY SERIOUS        QUITE SERIOUS     NOT VERY SERIOUS 3,NA,NA,NA
eb391,gen_evncon_3,v46,c(3:1),DESTRUCTION OF  OZONE  LAYER,1 VERY SERIOUS        QUITE SERIOUS     NOT VERY SERIOUS 3,NA,NA,NA
eb391,climate_chg_2,v47,c(0:1),Which of the following do you think could cause the problem of …the global warming:  SOLID FUEL,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v48,c(0:1),OIL AS A FUEL,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v49,c(0:1),NATURAL GAS,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v50,c(1:0),NUCLEAR ENERGY,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v51,c(1:0),RENEWABLE ENERGY,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v52,c(0:1),"FOREST DESTRUCT""",0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v53,c(0:1),CHEMICAL PRODUCT,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v54,c(0:1),RAISE LIVESTOCK,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v55,c(0:1),POPULATN GROWTH,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v56,c(0:1),ENERGY TECHNLGY,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v57,c(0:1),MORE CAR TRAFFC,0 Not mentioned     1 Mentioned,NA,NA,NA
eb391,climate_chg_2,v58,c(1:0),DK,0 Not mentioned     1 Mentioned,NA,NA,NA
eb370,gen_evncon_3,v449,"c(3, 2, 1)","some people are concerned about environmental protection and the fight against pollution. In your opinion, is it?",1An immediate and urgent problem   More a problem for the future Not really a problem  3,NA,NA,NA
eb370,env_seriplant_4,v450,c(4:1),"at present, are you very worried, somewhat worried, not very worried, or not at all worried about the following : EXTINCT SPECIES",1Very worried   Somewhat worried   Not very worried Not at all worried 4,NA,NA,NA
eb370,env_seriplant_4,v452,c(4:1),"at present, are you very worried, somewhat worried, not very worried, or not at all worried about the following : the disappearance of tropical forests",1Very worried   Somewhat worried   Not very worried Not at all worried 4,NA,NA,NA
eb370,gen_clicon_4,v453,c(4:1),global warming,1Very worried   Somewhat worried   Not very worried Not at all worried 4,NA,NA,NA
eb370,gen_clicon_2,v566,c(2:1),"In June 1992, the United Nations Conference for the Environment and Development will be held in Rio de Janeiro, Brazil.In your opinion, should this conference concern itself with the following problems, or not ? Global warming",1YES SHOULD 2NO SHOULD NOT,NA,NA,NA
eb370,gen_evncon_2,v496,c(0:1),"If I mention serious damage to the environment, what do you think of ?#ACID RAIN",0 no 1 mentioned,NA,NA,NA
eb370,gen_evncon_2,v497,c(0:1),DAMAGE GLOBAL POLLUTION,0 no 1 mentioned,NA,NA,NA
eb370,gen_clicon_2,v490,c(0:1),Air pollution from cars,0 no 1 mentioned,NA,NA,NA
issp2000,climate_chg_4,v31,c(1:4),Statements closest to opinion: The greenhouse effect is caused by a hole in the earth’s atmosphere.,"1. Definitely true
 2. Probably true
 3. Probably not true
 4. Definitely not true
 5. RCH: true",NA,NA,NA
issp2000,climate_chg_4,v32,c(4:1),"Statements closest to opinion: Every time we use coal or oil or gas, we contribute to the greenhouse effect.","1. Definitely true
 2. Probably true
 3. Probably not true
 4. Definitely not true
 5. RCH: true",NA,NA,NA
issp2000,ghtem_serious_5,v38,c(5:1),"In general, do you think that a rise in the world’s temperature caused by the ’greenhouse effect’ is ...","1. Extremely dangerous for the environment
 2. Very dangerous
 3. Somewhat dangerous
 4. Not very dangerous
 5. Not dangerous at all for the environment?",NA,NA,NA
issp2010,gen_clicon_5,v43,c(5:1),"In general, do you think that a rise in the world's temperature caused by climate change is","1 Extremely dangerous for the environment
2 Very dangerous
3 Somewhat dangerous
4 Not very dangerous
5 Not dangerous at all for the environment",NA,NA,NA
issp2010,climate_chg_4,v65,c(1:4),Climate change is caused by a hole in atmosphere,"1 Definitely true
2 Probably true
3 Probably not true
4 Definitely not true",NA,NA,NA
issp2010,climate_chg_4,v66,c(4:1),Climate change by use of coal or oil or gas,"1 Definitely true
2 Probably true
3 Probably not true
4 Definitely not true",NA,NA,NA
issp2020,climate_chg_4,v17,c(1:4),There has been a lot of discussion about the world’s climate and the idea it has been changing in recent decades.,1The world’s climate has not been changing; 2 The world’s climate has been changing mostly due to natural processes; 3The world’s climate has been changing about equally due to natural processes and human activity; 4 The world’s climate has been changing mostly due to human activity; 5Can't choose,NA,NA,NA
issp2020,climate_chg_11,v18,c(10:0),"On a scale from 0 to 10, how bad or good do you think the impacts of climate change will be for the world as a whole?",0 extremely bad; 10 extrenmely good,NA,NA,NA
issp2020,climate_chg_11,v19,c(10:0),"On a scale from 0 to 10, how bad or good do you think the impacts of climate change will be for [COUNTRY]?",0 extremely bad; 10 extrenmely good,NA,NA,NA
issp2020,gen_clicon_5,v37,c(5:1),"In general, do you think that air pollution caused by cars is …","1 Extremely dangerous for the environment
2 Very dangerous
3 Somewhat dangerous
4 Not very dangerous
5 Not dangerous at all for the environment""",NA,NA,NA
issp2020,gen_clicon_5,v41,c(5:1),do you think that a rise in the world’s temperature caused by climate change is …,"1 Extremely dangerous for the environment
2 Very dangerous
3 Somewhat dangerous
4 Not very dangerous
5 Not dangerous at all for the environment""",NA,NA,NA
afrob7,gen_clicon_5,q71,c(5:1),"Q71: In your experience, would you say climate conditions for agricultural production in your area have gotten better, gotten worse, or stayed about the same over the last 10 years or haven’t you heard enough to say?",1Much worse 2Worse  3About the same  4Better  5Much better,NA,NA,NA
afrob7,climate_chg_2,q73a,c(0:1),73A. Have you heard about climate change or haven’t you had the chance to hear about this yet?,0 no; 1 yes,NA,NA,NA
afrob7,climate_chg_2,q74,c(2:1),"which of the following do you think is the main cause of climate change, or haven't you heard enough to say?","1 Human Activity, like burning fuel and other activities that pollute the atmosphere;  2 Natural processes",NA,NA,NA
afrob7,gen_clicon_4,q76,c(0:3),"[If yes, to Q73A:] Do you think that climate change needs to be stopped? [If yes] How much do you think that ordinary Batswana can do to stop climate change?",1Ordinary Batswana can do nothing at all 2Ordinary Batswana can do a little bit 3Ordinary Batswana can do a lot 0 don't need to stop,NA,NA,NA
arabb5,gen_clicon_4,q108_1,c(4:1),"How serious a problem do you think the following issues are: Is Climate change a very serious problem, a somewhat serious problem, not a very serious problem, not at all a serious problem?","1A very serious problem
2A somewhat serious problem 3Not a very serious problem 4Not at all a serious problem",NA,NA,NA
arabb5,gen_clicon_4,q108_2,c(4:1),"How serious a problem do you think the following issues are: Is Air quality a very serious problem, a somewhat serious problem, not a very serious problem, not at all a serious problem?","1A very serious problem
2A somewhat serious problem 3Not a very serious problem 4Not at all a serious problem",NA,NA,NA
lb2007,climate_chg_4,p42n,c(4:1),"Knowledge of global warming
","1.- A lot
2.- Somewhat
3.- A little
4.- Not at all
-2-.- No answer -4-.- Not asked",NA,NA,NA
lb2007,gen_clicon_4,p43na,c(4:1),"How much global warming affects the country
","1.- A lot
2.- Somewhat
3.- A little
4.- Not at all
-1-.- Don't know
-2-.- No answer -4-.- Not Asked",NA,NA,NA
lb2007,gen_clicon_4,p43nb,c(4:1),"How much does global warming affect you and your family?
","1.- A lot
Somewhat
3.- A little
Not at all
-2-.- No answer -4-.- Not Asked",NA,NA,NA
lb2010,climate_chg_4,p47tmia,c(4:1),"How much have you heard or read about global warming or “climate change”—the idea that the Earth’s temperature is rising? A lot, some, a little, or none?","A lot.....................................1 Some......................................2
A little..................................3 None......................................4___",NA,NA,NA
lb2010,gen_clicon_4,p48st_a,c(4:1),"How much do you think climate change affects (country) - a lot, some affect, a little or no affect?",A lot............ 1 Some effect ..... 2 Little .......... 3 No effect ....... 4,NA,NA,NA
lb2010,gen_clicon_4,p48m_iab,c(4:1),"And how much do you think it affects you and your family -- a lot, some affect, a little or no affect??",A lot............ 1 Some effect ..... 2 Little .......... 3 No effect ....... 4,NA,NA,NA
lb2011,gen_clicon_4,p52st_a,c(4:1),"How much do you think climate change affects (country) - a lot, somewhat, a little or not at all?",Much                   Some               A little                Nothing,NA,NA,NA
lb2011,gen_clicon_4,p52st_b,c(4:1),nd how much do you think it affects you? And how much do you think it affects y,Much                   Some               A little                Nothing,NA,NA,NA
lb2017,gen_clicon_2,p51stma,c(0:1),which are the most importan for the development of your country? Enviroment and climate change,1: yes; 0: no,NA,NA,NA
lb2017,climate_chg_4,p53nd,c(1:4),do you agree with this statement: There is no such thing as a problem of Climate Change,1: strongly agree; 2: agree; 3: disagree; 4: strongly disagree,NA,NA,NA
lb2017,gen_clicon_4,p59n,c(1:4),With which of the following statements do you agree most? Climate change..,"Is an urgent problem we need to address today .... 1
It is not yet an urgent problem,
but it will be in the future ..................... 2
Is an urgent problem, but there is little we can
do, too late to act .............................. 3
It will never be necessary to address it ........ 4",NA,NA,NA
lb2017,climate_eco_2,p60n,c(2:1),With which of the following statements do you agree most?,"One must give priority to the fight against
climate change without considering its negative
impact in economic growth. ...................... 1
One must give priority to economic growth
without considering its negative
impact in the fight agains climate change... ..... 2",NA,NA,NA
lb2017,gen_clicon_2,p62na,c(0:1),do you think peoples daily lives will be most affected by climate change?,1: yes; 0: no,NA,NA,NA
lb2017,gen_clicon_2,p62nc,c(0:1),do you think people's health will be most affected by climate change?,1: yes; 0: no,NA,NA,NA
lb2017,gen_indchge_2,p63c,c(0:1),who should fight againts climate change? All citizens,1: yes; 0: no,NA,NA,NA
lb2017,sup_govaction_2,p63e,c(0:1),who should fight againts climate change? Governments,1: yes; 0: no,NA,NA,NA
lb2017,intcomm_coop_2,p63f,c(0:1),who should fight againts climate change? International organizations,1: yes; 0: no,NA,NA,NA
lb2017,gen_indchge_2,p63j,c(0:1),"who should fight againts climate change? Me , my family and my friends",1: yes; 0: no,NA,NA,NA
lb2017,gen_indchge_2,p63k,c(0:1),who should fight againts climate change? Everybody,1: yes; 0: no,NA,NA,NA
lb2017,gen_indchge_2,p63x,c(1:0),who should fight againts climate change? Nobody,1: yes; 0: no,NA,NA,NA
pew2006,climate_chg_2,q42f_heard_globalwarm,c(0:1),Have you heard of the environmental problem of global warming or not?,1: yes; 0: no,NA,NA,NA
pew2006,gen_clicon_4,q54,c(4:1),How much do you personally worry about global warming,"a great deal, a fair amount, 
only a little, or not at all?",NA,NA,I don' find this variable in the dataset
pew2008,gen_clicon_4,q8b,c(4:1),"Now I am going to read you a list of things that may be problems in our country. Please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all: b. Air pollution","1 Very big problem
2 Moderately big problem
3 Small problem
4 Not a problem at all",NA,NA,NA
pew2008,gen_clicon_4,q33,c(4:1),"is global warming a very serious problem, somewhat serious, not too serious, or not a problem","1 Very serious
2 Somewhat serious
3 Not too serious
4 Not a problem",NA,NA,NA
pew2010,gen_clicon_4,q45,c(4:1),"is global climate change a very serious problem, somewhat serious, not too serious, or not a problem?","1 Very serious
2 Somewhat serious
3 Not too serious
4 Not a problem",NA,NA,NA
pew2010,climate_indtax_2,q46,c(2:1),Please tell me whether you agree or disagree with the following statement: People should be willing to pay higher prices in order to address global climate change?,"1          Agree
2          Disagree",NA,NA,NA
pew2013,gen_clicon_3,q11g,c(3:1),"Do you think that global climate change is a major threat, a minor threat or not a threat to India?","1 Major threat
2 Minor threat
3 Not a threat",NA,NA,NA
pew2013,gen_clicon_4,q17a,c(4:1),"Air pollution: please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all","1 Very big problem
2 Moderately big problem
3 Small problem
4 Not a problem at all",NA,NA,NA
pew2014_india,gen_clicon_3,q11g,c(3:1),"Do you think that global climate change is a major threat, a minor threat or not a threat to India?","1 Major threat
2 Minor threat
3 Not a threat",NA,NA,NA
pew2015,gen_clicon_4,q13a,c(4:1),"Please tell me how concerned you are, if at all, about each of them – are you very concerned, somewhat concerned, not too concerned or not at all concerned? global climate change","1 Very concerned
2 Somewhat concerned
3 Not too concerned
4 Not at all concerned",NA,NA,NA
pew2015,gen_clicon_4,q32,c(4:1),"In your view, is global climate change a very serious problem, somewhat serious, not too serious or not a problem","1 Very serious
2 Somewhat serious
3 Not too serious
4 Not a problem",NA,NA,NA
pew2015,gen_indchge_2,q33,c(2:1),"To reduce the effects of global climate change, do you think people will have to make major changes in the way they live or can technology solve the problem without requiring major changes?","1 Have to make major changes
2 Technology can solve the problem without major changes",NA,NA,NA
pew2015,sup_govaction_2,q40,c(2:1),"Countries from around the world will meet in December in Paris to deal with global climate change. They will discuss an agreement to limit greenhouse gas emissions, such as from burning coal or [gas/petrol]. Do you support or oppose (survey country) limiting its greenhouse gas emissions as part of such an agreement?","1 Support
2 Oppose",NA,NA,NA
pew2015,gen_clicon_4,q41,c(4:1),"Do you think global climate change is harming people around the world now, will harm people in the next few years, will not harm people for many years or will never harm people?","1 Now
2 In the next few years
3 Not for many years
4 Never",NA,NA,NA
pew2015,gen_clicon_4,q42,c(4:1),"How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime? Are you very concerned, somewhat concerned, not too concerned or not at all concerned?","1 Very concerned
2 Somewhat concerned
3 Not too concerned
4 Not at all concerned",NA,NA,NA
pew2015,gen_clicon_4,q60h,c(4:1),"air pollution: Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.","1 Very big problem
2 Moderately big problem
3 Small problem
4 Not a problem at all",NA,NA,NA
pew2016,gen_clicon_4,q59c,c(4:1),"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all: air pollution","1 Very big problem
2 Moderately big problem
3 Small problem 
4 Not a problem at all",NA,NA,NA
pew2016,gen_clicon_4,q60e,c(4:1),"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all： air pollution","1 Very big problem
2 Moderately big problem
3 Small problem
4 Not a problem at all",NA,NA,NA
pew2016,gen_clicon_3,q61c,"c(2,3, 1)","please tell me if you think it will get better, get worse or stay the same in the next five years. air pollution","1 Better
2 Worse
3 Stay the same",NA,NA,NA
pew2016,climate_eco_2,q62,c(2:1),"Which statement comes closer to your own views, even if neither is exactly right?","1 We should reduce air pollution even if it means slower economic growth
2 Air pollution is the price we have to pay for continued economic growth",NA,NA,NA
pew2016,gen_clicon_3,q22d,c(3:1),"I’d like your opinion about some possible international concerns for (survey country). Do you think that (INSERT) is a major threat, a minor threat or not a threat to (survey country)? What about (INSERT)? Global climate change","
1 Major threat
2 Minor threat
3 Not a threat",NA,NA,NA
pew2017,sup_govaction_2,q38a.,c(2:1),"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. a. withdraw U.S. support for international climate change
agreements","1 Approve
2 Disapprove",NA,NA,NA
pew2017,gen_clicon_3,q17d,c(3:1),"I’d like your opinion about some possible international concerns for (survey country). Do you think that ____ is a major threat, a minor threat or not a threat to (survey country)? d. global climate change","1 Major threat
2 Minor threat
3 Not a threat",NA,NA,NA
pew2017,gen_clicon_4,q75d,c(4:1),"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. d. air pollution","1 Very big problem
2 Moderately big problem
3 Small problem
4 Not a problem at all",NA,NA,NA
pew2016,gen_clicon_3,q76e,"c(2,3, 1)","As I read each of the following problems, please tell me if you think it will get better, get worse or stay the same in the next five years. e. air pollution","1 Better
2 Worse
3 Stay the same",NA,NA,NA
pew2018,gen_clicon_3,q22d,c(3:1),"Do you think that [INSERT ITEM] is a major threat, a minor threat, or not a threat to (survey country)? What about [INSERT NEXT ITEM]? Global climate change","1 Major threat
2 Minor threat
3 Not a threat",NA,NA,NA
pew2018,gen_clicon_4,q67k,c(4:1),"please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. k. air pollution","1 Very big problem
2 Moderately big problem
3 Small problem
4 Not a problem at all",NA,NA,NA
pew2020,gen_clicon_3,Q13a,c(3:1),"I'd like your opinion about some possible international concerns for (survey country). Do you think that ___ is a major threat, a minor threat, or not a threat to (survey country)? a. Global climate change","""1 Major threat
2 Minor threat
3 Not a threat""",NA,NA,NA
pew2020,intcomm_coop_2,Q12g,c(2:1),Please tell me whether you think the following statements apply to the United Nations or not. The United Nations... g. Promotes action on climate change,"1 Yes
2 No",NA,NA,NA
eb570,gen_clicon_2,v100,c(2:1),Global warming and climate change are serious issues which need immediate action,"1 Yes, it is the case
2 No, it is not the case",NA,NA,NA
eb570,climate_chg_2,v101,c(2:1),"The use of fossil fuels (coal, oil, gas, etc.) contributes significantly to global warming and climate change","1 Yes, it is the case
2 No, it is not the case",NA,NA,NA
eb570,climate_chg_2,v102,c(1:2),Nuclear power contributes significantly to global warming and climate change,"1 Yes, it is the case
2 No, it is not the case",NA,NA,NA
eb570,climate_chg_2,v103,c(2:1),Transport is largely responsible for global warming and climate change,"1 Yes, it is the case
2 No, it is not the case",NA,NA,NA
eb570,climate_chg_2,v150,c(1:0),Reduction of greenhouse gas emissions that contribute to global warming and climate change,0 Not mentioned 1 Mentioned,NA,NA,NA
eb570,climate_chg_2,v115,c(1:2),"Nuclear energy is currently produced by fission or the splitting of heavy atoms. Another option being developed is nuclear fusion, which involves the merging of light atoms. Do you think that power stations using nuclear  fusion? Would contribute significantly to global warming",1 Yes 2 No,NA,NA,NA
eb570,spe_indchge_2,v120,c(0:1),Which of the following would you like to know more about? How to use renewable energy sources such as solar power or wind at home,0 Not mentioned 1 Mentioned,NA,NA,NA
eb580,gen_clicon_4,v568,c(4:1),"At present, are you very worried, fairly worried, not very worried or not at all worried about the following topics? Climate change","2 Very worried
2 Fairly worried
3 Not very worried
4 Not at all worried
5 DK",NA,NA,NA
eb580,climate_chg_4,v592,c(4:1),"For each of these topics, can you tell me if you feel very well, fairly well, fairly badly or very badly informed? (SHOW CARD WITH SCALE) Climate change","1 Very well
2 Fairly well
3 Fairly badly
4 Very badly
5 DK",NA,NA,NA
eb672,sup_govaction_4,v312,c(4:1),"More precisely, please tell me to what extent do you agree or disagree with the following statement about climate change: The European Union should urgently put new policies in place to reduce greenhouse gas emission by at least 20% by 2020.","1 Totally agree
2 Tend to agree
3 Tend to disagree
4 Totally disagree
5 DK",NA,NA,NA
eb692,gen_clicon_2,v542,c(0:1),Themes for next European elections in total. The fight against climate change,"0 Not mentioned
1 Mentioned",NA,NA,NA
eb692,gen_clicon_2,v695,c(0:1),Most serious problem currently facing the world as a whole in total (Split Ballot A & B) Global warming / Climate change,"10 Not mentioned
1 Mentioned",NA,NA,NA
eb692,gen_clicon_10,v707,c(1:10),Seriousness of global warming / climate change - perception in total (Split Ballot A & B),"""1 Box 1 - Not a serious problem at all
2 Box2
3 Box3
4 Box4
5 Box5
6 Box6
7 Box7
8 Box8
9 Box9
10 Box 10 - An extremly serious problem
11 DK""",NA,NA,NA
eb692,climate_chg_4,v709,c(4:1),"Personally, do you think that you are well informed or not about The different causes of climate change?","1 Very well informed
2 Fairly well informed
3 Not very well informed
4 Not at all informed
5 DK",NA,NA,NA
eb692,climate_chg_4,v710,c(4:1),"Personally, do you think that you are well informed or not about The different consequences of climate change","
1 Very well informed
2 Fairly well informed
3 Not very well informed
4 Not at all informed
5 DK",NA,NA,NA
eb692,climate_chg_4,v711,c(4:1),"Personally, do you think that you are well informed or not about Ways in which we can fight climate change","
1 Very well informed
2 Fairly well informed
3 Not very well informed
4 Not at all informed
5 DK",NA,NA,NA
eb692,sup_govaction_3,v712,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? The (NATIONALITY) government","1 Doing too much
2 Doing about the right amount
3 Not doing enough
4 DK",NA,NA,NA
eb692,sup_govaction_3,v713,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? The European Union","1 Doing too much
2 Doing about the right amount
3 Not doing enough
4 DK",NA,NA,NA
eb692,gen_clicon_3,v714,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? Corporations and industry","1 Doing too much
2 Doing about the right amount
3 Not doing enough
4 DK",NA,NA,NA
eb692,gen_indchge_3,v715,c(1:3),"In your opinion, are each of the following currently doing too much, doing about the right amount, or not doing enough to fight climate change? Citizens themselves","1 Doing too much
2 Doing about the right amount
3 Not doing enough
4 DK",NA,NA,NA
eb692,climate_chg_4,v720,c(1:4),"For each of the following statements, please tell me whether you totally agree, tend to agree, tend to disagree or totally disagree Climate change is an unstoppable process, we cannot do anything about it","1 Totally agree
2 Tend to agree
3 Tend to disagree
4 Totally disagree
5 DK",NA,NA,NA
eb692,climate_chg_4,v721,c(1:4),"For each of the following statements, please tell me whether you totally agree, tend to agree, tend to disagree or totally disagree The seriousness of climate change has been exaggerated","1 Totally agree
2 Tend to agree
3 Tend to disagree
4 Totally disagree
5 DK",NA,NA,NA
eb692,climate_chg_4,v722,c(1:4),"For each of the following statements, please tell me whether you totally agree, tend to agree, tend to disagree or totally disagree Emission of CO2 (Carbon dioxide) has only a marginal impact on climate change","1 Totally agree
2 Tend to agree
3 Tend to disagree
4 Totally disagree
5 DK",NA,NA,NA
eb692,climate_chg_4,v723,c(4:1),"For each of the following statements, please tell me whether you totally agree, tend to agree, tend to disagree or totally disagree Fighting climate change can have a positive impact on the European economy","1 Totally agree
2 Tend to agree
3 Tend to disagree
4 Totally disagree
5 DK",NA,NA,NA
eb692,climate_chg_4,v724,c(4:1),"For each of the following statements, please tell me whether you totally agree, tend to agree, tend to disagree or totally disagree  Alternative fuels, such as ""bio fuels"", should be used to reduce greenhouse gas emissions","1 Totally agree
2 Tend to agree
3 Tend to disagree
4 Totally disagree
5 DK",NA,NA,NA
eb692,climate_indbeh_300,v756,c(1:300),"Personally, how much would you be prepared to pay more for energy produced from sources that emit less greenhouse gases in order to fight the climate change? In average, how much, in percent, would you be ready to pay more?","1-1%
300-300 % 998-No 999-DK",NA,NA,"(CODE THE EXACT VALUE - PLEASE WRITE DOWN NNN - IF ""NO"", CODE ""998"" - IF ""DK"", PLEASE CODE ""999"")"
eb692,sup_govaction_3,v758,c(1:3),"The European Union has the objective of reducing its greenhouse gas emissions by at least 20% by 2020 compared to 1990. Thinking about this objective, would you say that it is too ambitious, about right or too modest?","1 Too ambitious
2 About right
3 Too modest
4 DK",NA,NA,NA
eb692,sup_govaction_3,v759,c(1:3),"In order to limit the impact of climate change, the EU is also proposing an international agreement which would commit the major world economies to a target of 30% reduction of greenhouse gas emissions by 2020 compared to 1990. Thinking about this objective, would you say that it is too ambitious, about right or too modest?","1 Too ambitious
2 About right
3 Too modest",NA,NA,NA
eb692,sup_govaction_3,v760,c(1:3),"The European Union has the objective of increasing the share of renewable energy to 20% by 2020. Thinking about this objective, would you say that it is too ambitious, about right or too modest?","1 Too ambitious
2 About right
3 Too modest
4 DK",NA,NA,NA
eb711,gen_clicon_2,v230,c(0:1),"European integration has been focusing on various issues in the last years. In your opinion, which aspects should be emphasized by the European institutions in the coming years, to strengthen the European Union in the future? The fight against climate change","0 Not mentioned
1 Mentioned",NA,NA,NA
eb711,gen_clicon_2,v377,c(0:1),"The European Parliament promotes the development of certain policies at European Union level. In your opinion, which of the following policies should be given priority? Combating climate change","0 Not mentioned
1 Mentioned",NA,NA,NA
